bill,rep,vote,topic,progressive,representative,pct_win,party,rep_2018,prog_vote
97,DELUCA,nay,education,-1,Anthony DeLuca,1,dem,1,1
97,DERMODY,nay,education,-1,Frank Dermody,1,dem,1,1
97,DONATUCCI,nay,education,-1,Maria Donatucci,1,dem,1,1
97,DRISCOLL,nay,education,-1,Michael Driscoll,1,dem,1,1
97,EVANS,nay,education,-1,Carol Hill-Evans,0.61036997509783,dem,1,1
97,FITZGERALD,nay,education,-1,Isabella Fitzgerald,1,dem,1,1
97,FLYNN,nay,education,-1,Martin Flynn,0.692891983467997,dem,1,1
97,FRANKEL,nay,education,-1,Dan Frankel,1,dem,1,1
97,FREEMAN,nay,education,-1,Robert Freeman,1,dem,1,1
97,GAINEY,nay,education,-1,Edward Gainey,1,dem,1,1
97,GALLOWAY,nay,education,-1,John Galloway,1,dem,1,1
97,GOODMAN,nay,education,-1,Neal Goodman,1,dem,1,1
97,HAGGERTY,nay,education,-1,Kevin Haggerty,0.5308650354634,dem,0,1
97,HANNA,nay,education,-1,Michael Hanna Sr.,0.521552064419357,dem,0,1
97,HARKINS,nay,education,-1,Patrick Harkins,0.729187216413494,dem,1,1
97,KAVULICH,nay,education,-1,Sid Michaels Kavulich,0.671466583189858,dem,1,1
97,"KELLER, W.",nay,education,-1,William Keller,1,dem,0,1
97,KIM,nay,education,-1,Patty Kim,1,dem,1,1
97,KINSEY,nay,education,-1,Stephen Kinsey,1,dem,1,1
97,KIRKLAND,nay,education,-1,Brian Kirkland,0.756046792389992,dem,1,1
97,KORTZ,nay,education,-1,William Kortz II,0.656492083577667,dem,1,1
97,KRUEGER,nay,education,-1,Leanne Krueger-Braneky,0.508328915427328,dem,1,1
97,KULIK,nay,education,-1,Anita Astorino Kulik,1,dem,1,1
97,LONGIETTI,nay,education,-1,Mark Longietti,1,dem,1,1
97,MADDEN,nay,education,-1,Maureen Madden,0.519198737617252,dem,1,1
