bill,rep,vote
1419,CHARLTON,yay
1419,COOK,yay
1419,CORR,yay
1419,COX,yay
1419,CULVER,yay
1419,CUTLER,yay
1419,DAY,yay
1419,DELOZIER,yay
1419,DIAMOND,yay
1419,DIGIROLAMO,yay
1419,DOWLING,yay
1419,DUNBAR,yay
1419,DUSH,yay
1419,ELLIS,yay
1419,EMRICK,yay
1419,ENGLISH,yay
1419,EVANKOVICH,yay
1419,EVERETT,yay
1419,FARRY,yay
1419,FEE,yay
1419,FRITZ,yay
1419,GILLEN,yay
1419,GILLESPIE,yay
1419,GODSHALL,yay
1419,GREINER,yay
1419,GROVE,yay
1419,HAHN,yay
1419,HARPER,yay
1419,HEFFLEY,yay
1419,HELM,yay
1419,HENNESSEY,yay
1419,HICKERNELL,yay
1419,HILL,yay
1419,IRVIN,yay
1419,JAMES,yay
1419,JOZWIAK,yay
1419,KAMPF,yay
1419,KAUFER,yay
1419,KAUFFMAN,yay
1419,KEEFER,yay
1419,"KELLER, F.",yay
1419,"KELLER, M.K.",yay
1419,KLUNK,yay
1419,KNOWLES,yay
1419,LAWRENCE,yay
1419,LEWIS,yay
1419,MACKENZIE,yay
1419,MAHER,yay
1419,MAKO,yay
1419,MALONEY,yay
1419,MARSHALL,yay
1419,MARSICO,yay
1419,MASSER,yay
1419,MCGINNIS,yay
1419,MEHAFFIE,yay
1419,MENTZER,yay
1419,METCALFE,yay
1419,METZGAR,yay
1419,MICCARELLI,yay
1419,MILLARD,yay
1419,MILNE,yay
1419,MURT,yay
1419,MUSTIO,yay
1419,NELSON,yay
1419,NESBIT,yay
1419,O'NEILL,yay
1419,OBERLANDER,yay
1419,ORTITAY,yay
1419,PEIFER,yay
1419,PICKETT,yay
1419,PYLE,yay
1419,QUIGLEY,yay
1419,"QUINN, C.",yay
1419,"QUINN, M.",yay
1419,RADER,yay
1419,RAPP,yay
1419,REED,yay
1419,REESE,yay
1419,ROAE,yay
1419,ROE,yay
1419,ROTHMAN,yay
1419,RYAN,yay
1419,SACCONE,yay
1419,SANKEY,yay
1419,SANTORA,yay
1419,SAYLOR,yay
1419,SCHEMEL,yay
1419,SIMMONS,yay
1419,SONNEY,yay
1419,STAATS,yay
1419,STEPHENS,yay
1419,TAYLOR,yay
1419,TOBASH,yay
1419,TOEPEL,yay
1419,TOOHIL,yay
1419,TOPPER,yay
1419,WALSH,yay
1419,WARD,yay
1419,WARNER,yay
1419,WATSON,yay
1419,WENTLING,yay
1419,WHEELAND,yay
1419,WHITE,yay
1419,ZIMMERMAN,yay
1419,BARBIN,yay
1419,BIZZARRO,yay
1419,BOYLE,yay
1419,BRADFORD,yay
1419,BRIGGS,yay
1419,"BROWN, V.",yay
1419,BULLOCK,yay
1419,BURNS,yay
1419,CALTAGIRONE,yay
1419,CARROLL,yay
1419,CEPHAS,yay
1419,COMITTA,yay
1419,CONKLIN,yay
1419,"COSTA, D.",yay
1419,"COSTA, P.",yay
1419,CRUZ,yay
1419,DALEY,yay
1419,DAVIDSON,yay
1419,"DAVIS, A.",yay
1419,"DAVIS, T.",yay
1419,DAWKINS,yay
1419,DEASY,yay
1419,DELISSIO,yay
1419,DELUCA,yay
1419,DERMODY,yay
1419,DONATUCCI,yay
1419,DRISCOLL,yay
1419,EVANS,yay
1419,FITZGERALD,yay
1419,FLYNN,yay
1419,FRANKEL,yay
1419,FREEMAN,yay
1419,GAINEY,yay
1419,GALLOWAY,yay
1419,GOODMAN,yay
1419,HANNA,yay
1419,HARKINS,yay
1419,"HARRIS, J.",yay
1419,KAVULICH,yay
1419,"KELLER, W.",yay
1419,KIM,yay
1419,KINSEY,yay
1419,KIRKLAND,yay
1419,KORTZ,yay
1419,KRUEGER,yay
1419,KULIK,yay
1419,LONGIETTI,yay
1419,MADDEN,yay
1419,MARKOSEK,yay
1419,MATZIE,yay
1419,MCCARTER,yay
